0,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875,1
0,-0.20066,-0.19454,-0.18844,-0.18237,-0.17633,-0.17031,-0.16432,-0.15833,-0.15235,-0.14638,-0.1404,-0.13441,-0.12841,-0.12239,-0.11635,-0.11027,-0.10416,-0.098008,-0.091811,-0.085567,-0.079272,-0.072927,-0.066529,-0.06008,-0.053579,-0.047028,-0.04043,-0.033786,-0.027101,-0.020376,-0.013615,-0.0068218,0
0.03125,-0.20163,-0.19536,-0.18912,-0.18291,-0.17674,-0.1706,-0.16448,-0.15838,-0.1523,-0.14623,-0.14017,-0.13411,-0.12804,-0.12197,-0.11588,-0.10977,-0.10363,-0.097469,-0.091271,-0.085037,-0.078762,-0.072445,-0.066082,-0.059674,-0.053218,-0.046716,-0.040168,-0.033576,-0.026939,-0.020261,-0.013544,-0.0067892,0
0.0625,-0.20284,-0.19641,-0.19002,-0.18367,-0.17737,-0.17109,-0.16485,-0.15864,-0.15245,-0.14628,-0.14013,-0.13398,-0.12784,-0.1217,-0.11556,-0.1094,-0.10323,-0.097046,-0.090834,-0.084594,-0.078324,-0.072019,-0.065678,-0.059298,-0.052876,-0.046414,-0.039908,-0.03336,-0.02677,-0.020138,-0.013464,-0.0067515,0
0.09375,-0.2043,-0.1977,-0.19115,-0.18465,-0.1782,-0.17179,-0.16542,-0.15909,-0.15279,-0.14651,-0.14026,-0.13403,-0.12781,-0.12159,-0.11539,-0.10918,-0.10296,-0.09674,-0.090502,-0.084245,-0.077967,-0.071662,-0.06533,-0.058965,-0.052567,-0.046133,-0.039661,-0.033151,-0.026601,-0.020011,-0.013381,-0.0067106,0
0.125,-0.20606,-0.19926,-0.19253,-0.18585,-0.17924,-0.17269,-0.16618,-0.15972,-0.1533,-0.14691,-0.14056,-0.13423,-0.12792,-0.12163,-0.11536,-0.10909,-0.10282,-0.096552,-0.090278,-0.083994,-0.077696,-0.071382,-0.065046,-0.058687,-0.052301,-0.045885,-0.039438,-0.032957,-0.026441,-0.019889,-0.013298,-0.006669,0
0.15625,-0.20814,-0.20111,-0.19416,-0.18729,-0.18051,-0.17379,-0.16713,-0.16053,-0.15398,-0.14748,-0.14102,-0.13459,-0.12819,-0.12182,-0.11546,-0.10912,-0.1028,-0.096477,-0.090159,-0.083839,-0.077513,-0.071179,-0.064831,-0.058467,-0.052083,-0.045676,-0.039245,-0.032786,-0.026296,-0.019775,-0.01322,-0.0066286,0
0.1875,-0.21061,-0.20328,-0.19607,-0.18898,-0.18199,-0.17509,-0.16827,-0.16152,-0.15484,-0.14821,-0.14163,-0.13509,-0.1286,-0.12213,-0.1157,-0.10928,-0.10289,-0.096512,-0.090142,-0.083779,-0.077418,-0.071055,-0.064686,-0.058308,-0.051918,-0.045512,-0.039087,-0.032641,-0.026172,-0.019675,-0.013149,-0.0065914,0
0.21875,-0.21352,-0.20581,-0.19829,-0.19094,-0.18371,-0.17661,-0.16961,-0.16269,-0.15586,-0.14909,-0.14239,-0.13574,-0.12914,-0.12258,-0.11605,-0.10956,-0.10309,-0.09665,-0.090224,-0.083811,-0.077407,-0.071008,-0.064611,-0.058212,-0.051807,-0.045393,-0.038968,-0.032528,-0.026069,-0.01959,-0.013087,-0.0065582,0
0.25,-0.21691,-0.20873,-0.20084,-0.19316,-0.18567,-0.17833,-0.17113,-0.16403,-0.15704,-0.15012,-0.14329,-0.13651,-0.1298,-0.12314,-0.11652,-0.10994,-0.1034,-0.096888,-0.090399,-0.08393,-0.077477,-0.071036,-0.064604,-0.058176,-0.05175,-0.045322,-0.038888,-0.032446,-0.025992,-0.019523,-0.013037,-0.0065302,0
