0,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875,1
0,0.19934,0.18688,0.17444,0.16212,0.15003,0.13831,0.12702,0.11627,0.10612,0.096606,0.087818,0.079735,0.072401,0.065824,0.059979,0.054814,0.050305,0.046325,0.042798,0.039626,0.036667,0.033879,0.036053,0.045484,0.043231,0.037934,0.032482,0.026858,0.02109,0.015696,0.010366,0.0051209,0
0.03125,0.20215,0.19014,0.17814,0.16622,0.15445,0.14296,0.13181,0.12112,0.11095,0.10132,0.092325,0.083969,0.076288,0.069291,0.063001,0.057354,0.052345,0.047902,0.043935,0.040384,0.03713,0.034074,0.031187,0.032519,0.040366,0.037742,0.032441,0.027019,0.021445,0.015798,0.010448,0.0051794,0
0.0625,0.20456,0.1929,0.1813,0.16978,0.15835,0.14711,0.13616,0.12556,0.11541,0.10575,0.096604,0.088057,0.0801,0.072779,0.066091,0.06005,0.054585,0.049713,0.045326,0.041381,0.037811,0.03448,0.031367,0.028383,0.02897,0.035276,0.032281,0.026983,0.021574,0.016059,0.010501,0.0052054,0
0.09375,0.20641,0.19528,0.18399,0.17282,0.16175,0.15078,0.14006,0.1296,0.11952,0.10986,0.10065,0.09195,0.083802,0.076215,0.069212,0.062813,0.056981,0.051697,0.046921,0.042604,0.038694,0.035095,0.03172,0.028545,0.025477,0.025402,0.030207,0.026846,0.021555,0.016148,0.010683,0.0052333,0
0.125,0.20714,0.19711,0.18633,0.17542,0.16466,0.15401,0.14352,0.13325,0.12327,0.11365,0.10443,0.09564,0.087351,0.079562,0.07231,0.065604,0.059464,0.053812,0.048682,0.044015,0.03976,0.035883,0.032251,0.028852,0.025611,0.022481,0.021814,0.025149,0.021448,0.016145,0.010754,0.0053307,0
0.15625,0.2081,0.19783,0.18813,0.17771,0.16717,0.15679,0.14655,0.1365,0.12667,0.11712,0.10793,0.09911,0.090714,0.082791,0.075334,0.068389,0.061962,0.056026,0.050564,0.04557,0.040998,0.036822,0.032944,0.029299,0.025873,0.022591,0.019418,0.018212,0.020104,0.016073,0.010751,0.005373,0
0.1875,0.20849,0.1989,0.18884,0.17946,0.16938,0.15921,0.14919,0.13936,0.12971,0.12029,0.11114,0.10233,0.093889,0.085863,0.078259,0.071121,0.064457,0.058273,0.052524,0.047235,0.042378,0.037901,0.033776,0.029897,0.026264,0.022817,0.019507,0.016293,0.014593,0.015074,0.010708,0.0053721,0
0.21875,0.20692,0.19949,0.18999,0.18015,0.17107,0.16135,0.1515,0.14185,0.1324,0.12313,0.11408,0.10531,0.096856,0.088761,0.081058,0.07377,0.066916,0.060509,0.054539,0.048974,0.043845,0.039096,0.034712,0.030621,0.026769,0.023151,0.019696,0.01637,0.013104,0.010962,0.010052,0.0053519,0
0.25,0.20086,0.19836,0.19072,0.18136,0.17176,0.16297,0.15358,0.14406,0.13475,0.12565,0.11673,0.10803,0.099602,0.09148,0.08372,0.076314,0.069306,0.062717,0.056549,0.050756,0.045379,0.040385,0.035748,0.031445,0.027389,0.023577,0.019968,0.016514,0.01317,0.0098638,0.0073236,0.0050273,0
0.28125,0.17505,0.19312,0.1899,0.18218,0.17301,0.16362,0.15514,0.14605,0.13684,0.12787,0.1191,0.1105,0.10213,0.094015,0.086219,0.07873,0.071613,0.064874,0.058533,0.052559,0.046957,0.04174,0.036871,0.032347,0.028106,0.024096,0.020327,0.016735,0.013287,0.0099146,0.0065985,0.0036679,0
0.3125,0.11842,0.16867,0.18549,0.18158,0.17388,0.16492,0.15575,0.14754,0.13876,0.12986,0.12118,0.11272,0.10443,0.096365,0.088549,0.081032,0.073821,0.06697,0.060478,0.054352,0.04856,0.04314,0.038061,0.033322,0.028897,0.024705,0.020761,0.017025,0.013458,0.010013,0.0066272,0.0033064,0
0.34375,0.067075,0.11409,0.16244,0.17798,0.17341,0.16584,0.15709,0.14814,0.14018,0.13168,0.12308,0.11469,0.1065,0.098505,0.090714,0.083185,0.07592,0.068984,0.062369,0.056106,0.050162,0.044558,0.039294,0.034351,0.029741,0.025386,0.02126,0.017375,0.013683,0.010143,0.0066902,0.0033189,0
0.375,0.035031,0.065486,0.10983,0.1563,0.17058,0.16544,0.15803,0.14948,0.14075,0.13302,0.12481,0.11647,0.10835,0.10043,0.092704,0.085177,0.077908,0.070894,0.064193,0.057804,0.051741,0.045979,0.040545,0.035422,0.030623,0.026111,0.021819,0.01778,0.013957,0.010309,0.0067881,0.0033513,0
0.40625,0.018044,0.036673,0.063972,0.10569,0.15025,0.16325,0.15769,0.15043,0.14209,0.13358,0.12607,0.11812,0.11004,0.10216,0.094493,0.087017,0.079747,0.072703,0.065932,0.059446,0.053271,0.047387,0.041794,0.036519,0.031536,0.026868,0.022427,0.018232,0.014273,0.010512,0.0069036,0.0034062,0
0.4375,0.012532,0.022964,0.038348,0.062528,0.10165,0.1443,0.15598,0.15016,0.14302,0.13493,0.1266,0.1193,0.1116,0.10376,0.096113,0.088681,0.081437,0.074398,0.067575,0.061019,0.054739,0.048753,0.043031,0.037616,0.032475,0.027644,0.023071,0.018727,0.014624,0.010743,0.0070375,0.0034718,0
