0,0,0.03125,0.0625,0.09375,0.125,0.15625,0.1875,0.21875,0.25,0.28125,0.3125,0.34375,0.375,0.40625,0.4375,0.46875,0.5,0.53125,0.5625,0.59375,0.625,0.65625,0.6875,0.71875,0.75,0.78125,0.8125,0.84375,0.875,0.90625,0.9375,0.96875,1
0,0.39999,0.39999,0.39998,0.39996,0.39993,0.39989,0.39982,0.39972,0.39957,0.39935,0.39906,0.39866,0.39813,0.39742,0.39651,0.39533,0.39382,0.39194,0.38962,0.38682,0.38351,0.37969,0.37538,0.37062,0.36551,0.36011,0.35457,0.34898,0.34347,0.33815,0.33312,0.32846,0.32424
0.03125,0.39998,0.39997,0.39995,0.39993,0.3999,0.39987,0.39982,0.39976,0.39967,0.39955,0.39939,0.39917,0.39888,0.39849,0.39798,0.39732,0.39645,0.39535,0.39396,0.39223,0.39011,0.38757,0.38459,0.38115,0.37728,0.37301,0.36839,0.36351,0.35844,0.35329,0.34815,0.34313,0.33831
0.0625,0.39993,0.3999,0.39986,0.39982,0.39977,0.39972,0.39966,0.3996,0.39953,0.39944,0.39934,0.39921,0.39904,0.39882,0.39854,0.39817,0.39769,0.39706,0.39626,0.39524,0.39396,0.39238,0.39046,0.38818,0.38549,0.38241,0.37895,0.37511,0.37095,0.36653,0.36191,0.35717,0.3524
0.09375,0.39977,0.3997,0.39962,0.39953,0.39944,0.39935,0.39927,0.39918,0.3991,0.39902,0.39894,0.39885,0.39874,0.39861,0.39846,0.39825,0.39799,0.39765,0.3972,0.39663,0.39589,0.39496,0.3938,0.39237,0.39065,0.38859,0.3862,0.38344,0.38034,0.37691,0.37317,0.36918,0.36498
0.125,0.39936,0.3992,0.39903,0.39887,0.39872,0.39858,0.39846,0.39835,0.39826,0.39818,0.3981,0.39804,0.39797,0.3979,0.39782,0.39771,0.39758,0.39741,0.39719,0.39689,0.3965,0.39598,0.39533,0.39449,0.39345,0.39218,0.39064,0.38881,0.38668,0.38423,0.38146,0.3784,0.37505
0.15625,0.39833,0.39803,0.39775,0.3975,0.39729,0.39711,0.39697,0.39686,0.39678,0.39671,0.39667,0.39664,0.39662,0.39661,0.39659,0.39657,0.39654,0.39649,0.39641,0.39629,0.39612,0.39588,0.39555,0.39512,0.39455,0.39382,0.3929,0.39178,0.39042,0.38881,0.38692,0.38476,0.38231
0.1875,0.39602,0.39556,0.39518,0.39488,0.39466,0.39452,0.39442,0.39437,0.39436,0.39438,0.39441,0.39446,0.39453,0.3946,0.39468,0.39475,0.39482,0.39488,0.39493,0.39495,0.39494,0.39489,0.39479,0.39463,0.39438,0.39403,0.39355,0.39293,0.39215,0.39118,0.39,0.38859,0.38693
0.21875,0.39131,0.39079,0.39047,0.3903,0.39025,0.39028,0.39038,0.39051,0.39068,0.39087,0.39107,0.39128,0.39149,0.39171,0.39192,0.39213,0.39233,0.39253,0.39271,0.39287,0.39301,0.39312,0.3932,0.39324,0.39322,0.39314,0.39298,0.39272,0.39235,0.39185,0.3912,0.39038,0.38937
0.25,0.38259,0.38247,0.38264,0.38297,0.3834,0.38388,0.38438,0.38489,0.3854,0.3859,0.38639,0.38686,0.38732,0.38776,0.38818,0.38858,0.38897,0.38934,0.38968,0.39001,0.39031,0.39059,0.39084,0.39106,0.39124,0.39137,0.39144,0.39146,0.39139,0.39123,0.39097,0.39059,0.39006
0.28125,0.36804,0.36933,0.37077,0.3722,0.37357,0.37486,0.37607,0.3772,0.37825,0.37923,0.38016,0.38102,0.38183,0.38259,0.38331,0.38398,0.38461,0.38521,0.38578,0.38631,0.38681,0.38727,0.38771,0.38811,0.38847,0.3888,0.38908,0.38931,0.38949,0.3896,0.38963,0.38958,0.38942
0.3125,0.34619,0.35054,0.35432,0.35758,0.36044,0.36296,0.36521,0.36723,0.36905,0.37072,0.37223,0.37363,0.37491,0.3761,0.37721,0.37823,0.37919,0.38009,0.38092,0.38171,0.38245,0.38314,0.38378,0.38439,0.38495,0.38548,0.38596,0.38639,0.38678,0.38711,0.38739,0.3876,0.38773
0.34375,0.31695,0.32617,0.33331,0.33913,0.344,0.34816,0.35178,0.35496,0.35778,0.3603,0.36258,0.36464,0.36653,0.36825,0.36983,0.3713,0.37265,0.37391,0.37508,0.37618,0.3772,0.37816,0.37905,0.37989,0.38068,0.38142,0.38211,0.38275,0.38334,0.38388,0.38437,0.38481,0.38518
0.375,0.28248,0.29736,0.30848,0.31733,0.3246,0.33072,0.33597,0.34052,0.34453,0.34808,0.35125,0.35411,0.35669,0.35905,0.3612,0.36318,0.365,0.36669,0.36825,0.36971,0.37106,0.37233,0.37351,0.37462,0.37566,0.37664,0.37756,0.37842,0.37922,0.37997,0.38067,0.38131,0.3819
0.40625,0.24752,0.26648,0.28131,0.29319,0.30296,0.31117,0.31818,0.32424,0.32955,0.33423,0.33841,0.34215,0.34553,0.34859,0.35138,0.35394,0.35629,0.35846,0.36046,0.36232,0.36406,0.36567,0.36718,0.36859,0.36991,0.37115,0.37232,0.37341,0.37445,0.37542,0.37633,0.37718,0.37797
0.4375,0.21861,0.23732,0.25411,0.26826,0.28018,0.29032,0.29903,0.3066,0.31323,0.31909,0.32431,0.32899,0.33321,0.33703,0.34051,0.34369,0.34661,0.3493,0.35179,0.35409,0.35623,0.35822,0.36008,0.36182,0.36345,0.36498,0.36642,0.36778,0.36905,0.37025,0.37139,0.37245,0.37346
